,subject,comm_pool,delegation,euler-4,lifetime,takeoff,sum
174,cyber1a30w6j4m6g3s2c6zt02z56xynnuaqmn3e0aata,50000000.0,,,,774688373.0,824688373.0
175,cyber1pmaltcu0x97x8j5klc8xluaapkzcvztchjldvn,,,,,734384390.0,734384390.0
176,cyber1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4ck2hrl,,,,,704276829.0,704276829.0
177,cyber1u3ap2d4ytcqrr6jlsjf380g3lvgldq4m7dr964,,,,,673130864.0,673130864.0
178,cyber1keny4peq77drtcdj6fscd9eknqcqyjmxyqsuu6,,,,,647527281.0,647527281.0
179,cyber16w2xwdzf6tzucpwcjjqtg9656a4kkv7gw3fhpc,,205345882.0,,252779909.0,,458125791.0
180,cyber14z6glatrayal5j53632kcefskyge6ujmvgym73,,,,327466267.0,,327466267.0
181,cyber14n625exc6ftee3t6tez3hj47lv49amjzet86p7,,,,236797768.0,,236797768.0
182,cyber1jst67u54vquzvun3dawpmpwyx5ar8maye9909r,,,181160067.0,,,181160067.0
183,cyber1kk79xcsuah7ckvunku78094gyh7900ehj8vdt7,,,,,173703544.0,173703544.0
184,cyber1fhj7pkuvwflr7z7ngp2v9tj7g58aq2tjv5nj20,,,,135097195.0,,135097195.0
185,cyber1l4krahjfp87exsmumzpnrfeaer2gsghpckyjk8,,,,112519320.0,,112519320.0
186,cyber16s7gwc944patdynnfnvac0jh5u76wsnfmnh2fr,,,77674844.0,,,77674844.0
187,cyber137eezcxcyqgt6kshfdfuvnsdgwpujyjew85m6l,,,,,73708712.0,73708712.0
188,cyber19lsruwa85k93ahzkdwaydyrl6ehz9dmmj9lxce,61260000.0,,,,,61260000.0
189,cyber10a9mqy8cu04nyz3nj934ck39p6u9ddjtpu8jmy,61110000.0,,,,,61110000.0
190,cyber1rc2647d9nftgwwh9n5vaw26lnjdrewc4fygps4,54168000.0,,,,,54168000.0
191,cyber14thj9udwenk5q8c5ey2urude2j54xud2ejfckv,52099000.0,,,,,52099000.0
192,cyber1ysn8jyjv464fv4wpt40vezh7d5tw05tcp550sk,51860000.0,,,,,51860000.0
193,cyber1hmdjgtv3yq4qzyuk3ynyt42sjntma8hqem269s,51560000.0,,,,,51560000.0
194,cyber17jq8ev7n4e3zv8zdek5mccvxcgxxtkwvevl4um,51219000.0,,,,,51219000.0
195,cyber1nqxwnut0hdgsn3l9zaladaft5xt9c6expcn84q,51160000.0,,,,,51160000.0
196,cyber1gfkztltd789py02jcd79dnkl252uej7xreqazu,51110000.0,,,,,51110000.0
197,cyber18ghdg8y5hx6esxm6ndw3ywgtalvkmz48xphrdl,51100000.0,,,,,51100000.0
198,cyber1pt3a6xk432vs8lp0z6ya3qhqhxks99xe3g4aha,51060000.0,,,,,51060000.0
199,cyber19wlc6vms3qkuy48wgg2dl06veahgxl475l50j0,51060000.0,,,,,51060000.0
200,cyber1ypzhtfsyuejekw0w0z207wyedqm3xqafulq8f4,51060000.0,,,,,51060000.0
201,cyber1e4cnw86pl73k2sfv7uwauflfl42qzncn399lmr,51010000.0,,,,,51010000.0
202,cyber1nsffk0nt927vn7pdsk8epzjeqch3yfzkxc89kz,51010000.0,,,,,51010000.0
203,cyber1fzkp5pux48ux72wsgls9lhxp5cq2tqsy4jyjw9,51010000.0,,,,,51010000.0
204,cyber1zcf0ph3k4p2q2pl32zqspy5f7jkgxd5s3wtkd8,50000000.0,,,,,50000000.0
205,cyber1z6lhk6u25fceqylmgv65t5py0c8kclgk56gmnm,50000000.0,,,,,50000000.0
206,cyber1hjz37u09vws084cvwjlr5t27wmsrzm9tl3r6tf,50000000.0,,,,,50000000.0
207,cyber1prrtyfgrw2tzj9kua5eu7tnctt474m36aum83h,50000000.0,,,,,50000000.0
208,cyber1y795vkzvczrauey63vmvvcjr84l3fjhey45jx6,50000000.0,,,,,50000000.0
209,cyber1ftkw5j528j94cajk4rvqum3k7mhhmpvyul99n4,50000000.0,,,,,50000000.0
210,cyber1hy8dexwz6ynlnnaj8ge7jvmzs4c6qmz6q0k9g9,50000000.0,,,,,50000000.0
211,cyber1knpgev72f2empt8j8gcn24my8kdasy2lup3fwq,50000000.0,,,,,50000000.0
212,cyber1k24kf4reet2lstvmkx9a4j0r87xfuqeqnjv65l,50000000.0,,,,,50000000.0
213,cyber1v9p7ukxpw2yjk7eqm8720vkgqq5qlk7w42nn4p,50000000.0,,,,,50000000.0
214,cyber1vpp9vy0fnxxw8yk5t2cctutpfv8pprvyntp4jj,50000000.0,,,,,50000000.0
215,cyber1jet9jf456dja8vqlhk407l06yvfehwzug2wly3,50000000.0,,,,,50000000.0
216,cyber1w0u83ty3nmflg9846zmh28u0hweccs3fx3jac5,50000000.0,,,,,50000000.0
217,cyber1jcj0w0e2khy0asm7dz8883xnepzmaxyl2p399h,50000000.0,,,,,50000000.0
218,cyber1gywad2frusetg26dyh83cfaevacravasnup4l8,50000000.0,,,,,50000000.0
219,cyber1pa0rcdua5v9d4vf09ksnnl7t96nfkf3w4x9w69,50000000.0,,,,,50000000.0
220,cyber1znt56em2psvx8ylfpplcmpy5esrea08gwerh3x,50000000.0,,,,,50000000.0
221,cyber16kqpk5jg9e5ucxv3e003mf48yuamw4ceskawgq,50000000.0,,,,,50000000.0
